algorithm,input_bytes,pattern,iterations,total_ns,ns_per_op,throughput_mbs
xxh3_seeded,16,repeating,101957632,200001709,1.9616158700115751,8156.540862358331
xxh3_seeded,32,random,67772416,200001167,2.951070344017247,10843.523288041613
xxh3_seeded,32,low_entropy,68870144,200002333,2.9040498739192415,11019.094502262631
xxh3_seeded,32,repeating,69021696,200001917,2.8976673798337265,11043.365509341595
xxh3_seeded,64,random,40679424,200001333,4.916523228057507,13017.32891950275
xxh3_seeded,64,low_entropy,41189376,200004041,4.855719130098014,13180.3340113513
xxh3_seeded,64,repeating,41450496,200003541,4.825118160226599,13263.923882227666
xxh3_seeded,256,random,13029376,200004292,15.350258677008016,16677.24338635693
xxh3_seeded,256,low_entropy,12834816,200004875,15.582995112668542,16428.164043501438
xxh3_seeded,256,repeating,12662784,200018125,15.795746417217572,16206.894770161454
xxh3_seeded,1024,random,5782528,200026542,34.59153885636179,29602.61479699029
xxh3_seeded,1024,low_entropy,5760000,200001542,34.722489930555554,29490.97262460106
xxh3_seeded,1024,repeating,5793792,200000417,34.519778583697864,29664.153190240595
xxh3_seeded,4096,random,1661952,200021333,120.35325508799292,34033.14681439505
xxh3_seeded,4096,low_entropy,1659904,200055125,120.52210549525756,33985.4666757475
xxh3_seeded,4096,repeating,1658880,200056209,120.59715530960648,33964.31689855724
xxh3_seeded,16384,random,418816,200218792,478.0590808374083,34271.91461628636
xxh3_seeded,16384,low_entropy,418816,200461375,478.6382922333435,34230.44137056328
xxh3_seeded,16384,repeating,418816,200413708,478.5244785299511,34238.58284184833
xxh3_seeded,65536,random,105472,201877416,1914.038000606796,34239.654583254625
xxh3_seeded,65536,low_entropy,106496,201594000,1892.9725060096155,34620.68244094566
xxh3_seeded,65536,repeating,106496,201446583,1891.5882568359375,34646.01757975711
wyhash,8,random,69983232,200001666,2.8578512349929768,2799.3059617813383
wyhash,8,low_entropy,67917824,200001542,2.944757800249902,2716.6920143045695
wyhash,8,repeating,67075072,200002542,2.981771558888524,2682.968779466813
wyhash,16,random,63204352,200001208,3.1643581758420685,5056.317619841576
wyhash,16,low_entropy,63260672,200001458,3.161544948495014,5060.816866645043
wyhash,16,repeating,62829568,200002875,3.1832603878479637,5026.293187035436
wyhash,32,random,63379456,200001875,3.1556262489851603,10140.617891707265
wyhash,32,low_entropy,63148032,200000750,3.1671731274222448,10103.647231322882
wyhash,32,repeating,63192064,200002875,3.164999880364724,10110.584900342057
wyhash,64,random,48678912,200002500,4.108606617995077,15577.057126785916
wyhash,64,low_entropy,48864256,200004000,4.0930532125568435,15636.2491950161
wyhash,64,repeating,48653312,200001292,4.110743622140256,15568.959264523151
wyhash,256,random,17661952,200004083,11.324007844659526,22606.837041421797
wyhash,256,low_entropy,17916928,200001500,11.162711598774075,22933.495838781208
wyhash,256,repeating,18000896,200011083,11.111173743795865,23039.87012559699
wyhash,1024,random,4520960,200020125,44.24284333415912,23144.986235760025
wyhash,1024,low_entropy,4648960,200031292,43.02710541712555,23798.951616030157
wyhash,1024,repeating,4613120,200003333,43.35532849784961,23618.780793018082
wyhash,4096,random,996352,200081000,200.81356789568346,20397.028163593746
wyhash,4096,low_entropy,990208,200069125,202.0475748529602,20272.453173371952
wyhash,4096,repeating,990208,200046875,202.0251048264607,20274.70795532297
wyhash,16384,random,246784,200476125,812.3546299598029,20168.531569532282
wyhash,16384,low_entropy,244736,200059917,817.4519359636506,20042.76860716682
wyhash,16384,repeating,246784,200244792,811.41723936722,20191.831286178967
wyhash,65536,random,62464,201773833,3230.24194736168,20288.263562897177
wyhash,65536,low_entropy,60416,201518500,3335.5154263771187,19647.937911407636
wyhash,65536,repeating,54272,201650125,3715.546230100236,17638.321781352726
crc32c,8,random,51013632,200000750,3.9205353972836123,2040.5376279838952
crc32c,8,low_entropy,51612672,200003917,3.8750932522927704,2064.466447424627
crc32c,8,repeating,51615744,200000667,3.8747996541520355,2064.6228744827135
crc32c,16,random,47859712,200000750,4.1788958111574095,3828.762602140242
crc32c,16,low_entropy,48146432,200002041,4.15403660649246,3851.6752536540366
crc32c,16,repeating,48076800,200003417,4.160081723409212,3846.07828975242
crc32c,32,random,36779008,200000375,5.4378947632301555,5884.630246318288
crc32c,32,low_entropy,36998144,200005458,5.405824086743379,5919.541495712582
crc32c,32,repeating,36813824,200000167,5.432746323772287,5890.20692167722
crc32c,64,random,42337280,200001375,4.72400151828365,13547.836458624346
crc32c,64,low_entropy,41697280,200002667,4.796539894208927,13342.951671739458
crc32c,64,repeating,42607616,200001916,4.694041459630128,13634.306503343698
crc32c,256,random,12452864,200000125,16.060572491597114,15939.655957715026
crc32c,256,low_entropy,12377088,200008625,16.159586568343055,15841.989454204788
crc32c,256,repeating,13207552,200014209,15.143927428792255,16904.46558224271
crc32c,1024,random,1946624,200067750,102.77678175138085,9963.33979864321
crc32c,1024,low_entropy,1971200,200084250,101.5037794237013,10088.294306023588
crc32c,1024,repeating,1976320,200039667,101.21825767082254,10116.7518940131
crc32c,4096,random,428032,200139708,467.5811808462919,8759.976166248827
crc32c,4096,low_entropy,411648,200496667,487.05852330146143,8409.667019552002
crc32c,4096,repeating,413696,200130250,483.76162689511136,8466.979959301505
crc32c,16384,random,104448,201764541,1931.7223977481617,8481.549946875948
crc32c,16384,low_entropy,100352,200959083,2002.5418825733418,8181.601664653296
crc32c,16384,repeating,100352,201932083,2012.237753109056,8142.179011742279
crc32c,65536,random,25600,206178375,8053.8427734375,8137.233596879401
crc32c,65536,low_entropy,25600,206265542,8057.247734375,8133.794834233631
crc32c,65536,repeating,25600,205951167,8044.9674609375,8146.210698577882
ahash,8,random,113261568,200000250,1.765826250966259,4530.457056928679
ahash,8,low_entropy,115573760,200001125,1.7305063450388738,4622.924396050273
ahash,8,repeating,116018176,200001042,1.723876800131731,4640.70286193809
ahash,16,random,119634944,200000917,1.671760025231424,9570.75163810374
ahash,16,low_entropy,120926208,200000875,1.6539084314956771,9674.054316012367
ahash,16,repeating,121252864,200000792,1.649452106962191,9700.1907072448
ahash,32,random,92475392,200002083,2.1627600453967255,14795.908620611717
ahash,32,low_entropy,90715136,200002125,2.2047271692344705,14514.267545907325
ahash,32,repeating,90013696,200000792,2.2218928994983163,14402.134327548061
ahash,64,random,56556544,200003000,3.536337015217903,18097.82261266081
ahash,64,low_entropy,56422400,200001417,3.544716584193512,18055.040080041035
ahash,64,repeating,56212480,200003375,3.5579888131603514,17987.690057730277
ahash,256,random,15901696,200002042,12.577403190200592,20353.963066037097
ahash,256,low_entropy,15671296,200004667,12.762484162126732,20058.790808116493
ahash,256,repeating,15937536,200001916,12.549111481222694,20399.85064943078
ahash,1024,random,3644416,200009875,54.8811867251159,18658.488657122554
